grievance_id,lodged_date,closed_date,ward,department,citizen_feedback_rating,grievance_text
G-0001,2025-10-02,2025-10-05,Ward 12,Sanitation,4,"Garbage was not being lifted near the market for 3 days. After complaint, it was cleared."
G-0002,2025-10-03,2025-10-20,Ward 07,Roads,1,"Big potholes on main road causing accidents. Complaint pending for weeks, no update."
G-0003,2025-10-04,2025-10-06,Ward 03,Streetlights,5,"Streetlight near school was not working. Fixed quickly. Good response."
G-0004,2025-10-05,2025-10-25,Ward 18,Drainage,2,"Drain overflowing with sewage and bad smell. Took too long to resolve and no one informed us."
G-0005,2025-10-05,,Ward 09,Water Supply,1,"No water supply since last week. Pipeline leak reported but still pending."
G-0006,2025-10-06,2025-10-10,Ward 09,Water Supply,3,"Low water pressure in morning. Resolved after 4 days."
G-0007,2025-10-06,2025-10-07,Ward 21,Sanitation,4,"Garbage dump cleared in one day. Please maintain regular pickup."
G-0008,2025-10-07,2025-10-23,Ward 12,Public Health,2,"Mosquito breeding due to stagnant water. Fogging delayed; still many mosquitoes."
G-0009,2025-10-07,2025-10-09,Ward 05,Drainage,4,"Waterlogging after rain near bus stop. Cleared drains and it improved."
G-0010,2025-10-08,2025-10-30,Ward 07,Roads,1,"Road repair promised but not done. Same issue again. Very unhappy with delays."
G-0011,2025-10-08,2025-10-12,Ward 14,Streetlights,3,"Two street lamps flickering. Repaired after several reminders."
G-0012,2025-10-09,2025-10-11,Ward 02,Sanitation,4,"Overflowing community bin cleaned. Satisfied."
G-0013,2025-10-09,2025-10-28,Ward 18,Drainage,1,"Sewage overflow continues even after closure previously. Recurring issue, worst service."
G-0014,2025-10-10,2025-10-16,Ward 03,Roads,3,"Broken footpath near clinic. Repaired after a week."
G-0015,2025-10-10,2025-10-13,Ward 16,Encroachment,2,"Illegal hawkers blocking footpath. Action taken but they returned again."
G-0016,2025-10-11,2025-10-11,Ward 22,Streetlights,5,"Light repaired same day. Thank you."
G-0017,2025-10-11,,Ward 07,Roads,1,"Potholes getting worse. Accident risk. No response from department."
G-0018,2025-10-12,2025-10-19,Ward 11,Water Supply,2,"Water pipeline leak near my house. It was fixed but area not restored properly."
G-0019,2025-10-12,2025-10-15,Ward 11,Sanitation,3,"Garbage pickup irregular. Improved after complaint."
G-0020,2025-10-13,2025-10-22,Ward 20,Noise,2,"Construction noise late night. Enforcement delayed and no follow-up."
G-0021,2025-10-13,2025-10-14,Ward 01,Stray Animals,4,"Stray dogs near park were relocated after complaint."
G-0022,2025-10-14,2025-10-29,Ward 09,Water Supply,1,"No water for 10 days. Multiple complaints. Still pending, no update."
G-0023,2025-10-14,2025-10-18,Ward 12,Sanitation,3,"Garbage overflow at corner. Cleared after 4 days."
G-0024,2025-10-15,2025-10-27,Ward 06,Drainage,2,"Stagnant water in lane and mosquitoes. Delay in cleaning drains."
G-0025,2025-10-15,2025-10-16,Ward 05,Streetlights,5,"Street light fixed quickly."
G-0026,2025-10-16,,Ward 18,Drainage,1,"Sewage line broken, foul smell. Pending for weeks. No action."
G-0027,2025-10-16,2025-10-24,Ward 14,Roads,2,"Road patchwork poor quality, potholes back again."
G-0028,2025-10-17,2025-10-19,Ward 02,Sanitation,4,"Cleaning team attended and removed waste. Good."
G-0029,2025-10-17,2025-10-31,Ward 16,Encroachment,1,"Encroachment complaints closed without real action. Same vendors returned."
G-0030,2025-10-18,2025-10-20,Ward 03,Public Health,4,"Fogging done after rain. Helped reduce mosquitoes."
G-0031,2025-10-18,2025-10-26,Ward 20,Noise,3,"Noise reduced after warning. Took some time."
G-0032,2025-10-19,2025-10-21,Ward 01,Stray Animals,3,"Dog bite risk near school. Team visited after 2 days."
G-0033,2025-10-19,2025-11-10,Ward 07,Roads,1,"Repeated complaints. Still delay and no proper repair. Very dissatisfied."
G-0034,2025-10-20,2025-10-25,Ward 11,Water Supply,3,"Intermittent water. Fixed after 5 days."
G-0035,2025-10-20,2025-10-22,Ward 12,Sanitation,4,"Garbage lifted. Satisfied."
G-0036,2025-10-21,2025-11-05,Ward 06,Drainage,2,"Drain cleaning delayed; waterlogging continued for 2 weeks."
G-0037,2025-10-21,2025-10-23,Ward 05,Streetlights,4,"Light repaired."
G-0038,2025-10-22,2025-11-06,Ward 09,Water Supply,1,"No water and repeated calls. Still no response, pending for weeks."
G-0039,2025-10-22,2025-11-02,Ward 18,Drainage,2,"Sewage overflow addressed late. Communication was poor."
G-0040,2025-10-23,2025-10-24,Ward 22,Sanitation,5,"Quick garbage clearance."
G-0041,2025-10-23,2025-11-08,Ward 14,Roads,2,"Road repair took more than 2 weeks. Quality not good."
G-0042,2025-10-24,2025-10-30,Ward 03,Streetlights,3,"Street lights repaired after several reminders."
G-0043,2025-10-24,2025-11-09,Ward 12,Public Health,2,"Mosquito issue recurring. Fogging delayed again."
G-0044,2025-10-25,2025-11-01,Ward 16,Encroachment,3,"Some action taken on encroachment."
G-0045,2025-10-25,,Ward 07,Roads,1,"Pothole complaint pending. No update. Accident risk."
G-0046,2025-10-26,2025-10-29,Ward 11,Sanitation,4,"Garbage pickup resumed."
G-0047,2025-10-26,2025-11-03,Ward 20,Noise,2,"Late night loud music. Enforcement delayed."
G-0048,2025-10-27,2025-10-28,Ward 01,Stray Animals,5,"Team responded quickly and handled stray dogs."
G-0049,2025-10-27,2025-11-12,Ward 09,Water Supply,1,"No water for many days. Very unhappy with delay and no communication."
G-0050,2025-10-28,2025-11-04,Ward 06,Drainage,2,"Drain blockage and smell. Took long to clear."


